entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
"Heineman, Tyler",623168,137,29,76.9,0.66,6,1.95,1.96,1.93,3,1.47,1.51,1.45
"Butera, Drew",460077,115,36,84.4,0.75,6,1.93,1.96,1.91,0,,,
"Bart, Joey",663698,137,23,84.2,0.75,13,2.01,1.96,2.03,0,,,
"Sánchez, Gary",596142,147,27,92.8,0.7,7,1.94,1.97,1.91,2,1.48,1.49,1.46
"Molina, Yadier",425877,138,37,81.7,0.71,9,1.95,1.97,1.93,0,,,
"Pérez, Michael",605421,139,27,81.3,0.73,8,1.97,1.97,1.96,2,1.54,1.56,1.52
"Chirinos, Robinson",455139,121,36,77.9,0.77,8,2.0,1.97,2.01,0,,,
"Wolters, Tony",547172,115,28,75.9,0.72,8,1.95,1.98,1.94,0,,,
"Mathis, Jeff",425772,140,37,79.5,0.7,11,1.98,1.99,1.97,0,,,
"Pérez, Roberto",547379,114,31,78.9,0.75,11,1.98,1.99,1.96,1,2.05,2.05,
"Wallach, Chad",595453,146,28,80.0,0.73,7,1.98,1.99,1.98,0,,,
"Smith, Will",669257,119,25,82.7,0.8,13,2.01,1.99,2.02,0,,,
"Barnes, Austin",605131,119,30,76.0,0.71,14,2.05,1.99,2.06,1,1.59,,1.59
"Barnhart, Tucker",571466,113,29,77.4,0.69,9,1.98,1.99,1.97,1,1.41,1.41,
"Garneau, Dustin",572863,117,32,78.9,0.7,9,1.97,1.99,1.97,2,1.45,1.49,1.41
"León, Sandy",506702,114,31,76.8,0.72,9,2.03,1.99,2.03,0,,,
"Grandal, Yasmani",518735,145,31,77.5,0.67,6,1.98,2.0,1.94,0,,,
"Jansen, Danny",643376,141,25,80.5,0.73,15,1.96,2.0,1.95,1,1.54,1.54,
"Piña, Manny",444489,158,33,82.5,0.74,8,2.0,2.0,1.99,0,,,
"d'Arnaud, Travis",518595,144,31,81.0,0.73,11,1.94,2.01,1.94,2,1.56,1.53,1.59
"Odom, Joseph",641929,136,28,77.1,0.79,13,2.09,2.03,2.1,0,,,
"Casali, Curt",592200,113,31,77.5,0.75,6,2.01,2.03,2.01,0,,,
"Romine, Austin",519222,116,31,80.4,0.79,18,2.05,2.03,2.05,0,,,
"Vogt, Stephen",519390,109,35,72.6,0.68,13,2.06,2.04,2.06,0,,,
"Jeffers, Ryan",680777,142,23,79.8,0.76,8,2.02,2.04,2.02,1,1.56,,1.56
"Murphy, John Ryan",571974,134,29,81.2,0.75,8,2.0,2.04,1.96,0,,,
"Ramos, Wilson",467092,121,32,77.0,0.74,21,2.03,2.05,2.02,4,1.58,1.51,1.6
"Suzuki, Kurt",435559,120,36,78.0,0.8,16,2.04,2.05,2.04,0,,,
"Stallings, Jacob",607732,134,30,81.9,0.77,15,2.01,2.06,1.97,1,1.57,,1.57
"Garver, Mitch",641598,142,29,81.8,0.81,8,2.03,2.06,2.02,0,,,
"Trevino, Jose",624431,140,27,73.8,0.79,9,2.07,2.08,2.06,0,,,
"Plawecki, Kevin",608700,111,29,74.8,0.74,14,2.08,2.09,2.07,1,1.54,,1.54
"Flowers, Tyler",452095,144,34,73.6,0.77,13,2.11,2.11,2.11,0,,,
"Avila, Alex",488671,142,33,78.2,0.71,8,2.03,2.11,1.98,1,1.45,,1.45
"Gomes, Yan",543228,120,32,78.7,0.73,8,1.99,2.22,1.96,0,,,
"Sisco, Chance",642082,110,25,75.2,0.87,10,2.11,2.23,2.08,0,,,
"Kelly, Carson",608348,109,25,81.8,0.79,8,1.96,,1.96,0,,,
