"last_name, first_name",player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
"Anderson, Brian",605119,Marlins,2020,3B,3,5,3,0,1,1,2,3,74%,72%,2%
"Arenado, Nolan",571448,Rockies,2020,3B,4,6,1,0,3,1,6,0,76%,73%,3%
"Bohm, Alec",664761,Phillies,2020,3B,-1,-1,0,0,-1,0,-1,0,70%,70%,0%
"Bote, David",623520,Cubs,2020,3B,-4,-5,0,-2,-2,0,-4,-1,65%,72%,-7%
"Bregman, Alex",608324,Astros,2020,3B,1,1,2,2,-3,0,1,0,71%,71%,0%
"Bryant, Kris",592178,Cubs,2020,3B,-2,-2,-2,1,-1,0,0,-2,72%,74%,-2%
"Carpenter, Matt",572761,Cardinals,2020,3B,1,2,2,0,-1,0,2,0,77%,75%,2%
"Chapman, Matt",656305,Athletics,2020,3B,1,1,2,0,-1,0,0,1,68%,67%,1%
"Davis, J.D.",605204,Mets,2020,3B,-3,-4,1,-1,-3,0,-2,-2,63%,67%,-4%
"Devers, Rafael",646240,Red Sox,2020,3B,-3,-4,-2,0,-2,0,-3,-1,60%,62%,-2%
"Donaldson, Josh",518626,Twins,2020,3B,0,1,1,0,0,0,-1,1,68%,67%,1%
"Díaz, Yandy",650490,Rays,2020,3B,-2,-3,1,-2,-2,0,-4,1,69%,73%,-4%
"Edman, Tommy",669242,Cardinals,2020,3B,2,2,-1,1,1,0,2,0,70%,67%,3%
"Escobar, Eduardo",500871,D-backs,2020,3B,0,1,-1,2,-1,1,-1,2,74%,74%,0%
"Franco, Maikel",596748,Royals,2020,3B,-1,-1,2,-5,1,0,-3,2,72%,73%,-1%
"Frazier, Todd",453943,---,2020,3B,-1,-2,-1,0,0,-1,-1,-1,67%,69%,-2%
"Gonzalez, Marwin",503556,Twins,2020,3B,0,0,1,1,-2,0,0,1,73%,73%,0%
"Hayes, Ke'Bryan",663647,Pirates,2020,3B,3,4,1,0,3,0,3,0,78%,73%,5%
"Kieboom, Carter",666198,Nationals,2020,3B,0,0,-2,3,-1,0,-2,1,74%,74%,0%
"Kiner-Falefa, Isiah",643396,Rangers,2020,3B,4,6,3,0,2,1,4,1,78%,74%,4%
"Longoria, Evan",446334,Giants,2020,3B,4,5,2,1,2,0,4,1,76%,72%,4%
"Machado, Manny",592518,Padres,2020,3B,3,4,4,-1,1,0,3,2,76%,73%,3%
"Moncada, Yoán",660162,White Sox,2020,3B,-1,-1,1,-2,-1,1,0,-2,78%,79%,-1%
"Muncy, Max",571970,Dodgers,2020,1B,-2,-3,-2,-1,0,0,-1,-1,71%,76%,-5%
"Paredes, Isaac",670623,Tigers,2020,3B,-3,-3,-2,0,-1,-1,-3,0,67%,70%,-3%
"Ramírez, José",608070,Guardians,2020,3B,-2,-2,2,-1,-2,-1,-1,-1,66%,67%,-1%
"Rendon, Anthony",543685,Angels,2020,3B,1,1,2,0,0,0,2,0,73%,72%,1%
"Riley, Austin",663586,Braves,2020,3B,-3,-5,0,-3,-2,0,-5,0,65%,67%,-2%
"Ruiz, Rio",547004,Orioles,2020,3B,2,2,-2,2,2,0,0,2,73%,72%,1%
"Seager, Kyle",572122,Mariners,2020,3B,2,3,2,-1,1,1,2,1,65%,64%,1%
"Segura, Jean",516416,Phillies,2020,2B,1,1,1,1,-1,0,0,1,70%,68%,2%
"Shaw, Travis",543768,Blue Jays,2020,3B,-1,-2,-2,0,1,0,-1,-1,69%,70%,-1%
"Sogard, Eric",519299,Brewers,2020,3B,0,1,-1,2,-1,0,0,1,73%,72%,1%
"Suárez, Eugenio",553993,Reds,2020,3B,1,1,1,2,-1,-1,0,0,69%,69%,0%
"Turner, Justin",457759,Dodgers,2020,3B,1,1,-2,0,3,0,3,-2,74%,74%,0%
"Urshela, Gio",570482,Yankees,2020,3B,0,1,1,1,-1,0,-1,2,75%,75%,0%
"Urías, Luis",649966,Brewers,2020,3B,1,2,2,0,-1,0,2,0,76%,73%,3%
"Wendle, Joey",621563,Rays,2020,3B,0,-1,1,0,-2,-1,0,0,73%,73%,0%
"Adames, Willy",642715,Rays,2020,SS,-1,-1,-1,1,-1,0,-1,0,71%,72%,-1%
"Ahmed, Nick",605113,D-backs,2020,SS,6,7,2,3,2,1,7,0,76%,72%,4%
"Anderson, Tim",641313,White Sox,2020,SS,2,3,4,0,0,-1,0,2,76%,74%,2%
"Andrus, Elvis",462101,Rangers,2020,SS,-1,-2,2,1,-4,0,-3,1,75%,77%,-2%
"Arcia, Orlando",606115,Brewers,2020,SS,1,1,1,0,1,-1,1,0,71%,70%,1%
"Bichette, Bo",666182,Blue Jays,2020,SS,1,1,1,-1,1,0,1,0,76%,75%,1%
"Bogaerts, Xander",593428,Red Sox,2020,SS,-2,-3,0,-1,-3,1,-3,0,67%,69%,-2%
"Báez, Javier",595879,Cubs,2020,SS,7,9,5,1,3,0,5,3,81%,77%,4%
"Castro, Willi",650489,Tigers,2020,SS,-3,-4,0,-3,0,0,-4,0,72%,76%,-4%
"Correa, Carlos",621043,Astros,2020,SS,3,4,4,1,-1,1,0,4,79%,77%,2%
"Crawford, Brandon",543063,Giants,2020,SS,6,8,3,3,0,2,4,4,78%,74%,4%
"Crawford, J.P.",641487,Mariners,2020,SS,5,6,6,3,-1,-1,5,1,82%,79%,3%
"DeJong, Paul",657557,Cardinals,2020,SS,-3,-4,-2,-2,-1,0,-2,-2,77%,79%,-2%
"Espinal, Santiago",669289,Blue Jays,2020,SS,2,3,2,0,1,0,2,0,75%,72%,3%
"Fletcher, David",664058,Angels,2020,SS,-1,-1,0,0,-2,1,-1,1,73%,74%,-1%
"Galvis, Freddy",520471,Reds,2020,SS,-3,-5,-1,0,-2,-1,-3,-2,72%,77%,-5%
"Giménez, Andrés",665926,Mets,2020,SS,3,3,2,1,0,0,2,2,76%,71%,5%
"González, Erik",570481,Pirates,2020,SS,1,1,1,2,-2,0,2,-1,72%,71%,1%
"Goodrum, Niko",592348,Tigers,2020,SS,4,5,3,0,2,0,3,2,78%,74%,4%
"Gregorius, Didi",544369,Phillies,2020,SS,-6,-8,-5,0,-3,0,-6,-2,73%,77%,-4%
"Lindor, Francisco",596019,Guardians,2020,SS,5,7,5,1,0,1,4,2,75%,72%,3%
"Mondesi, Adalberto",609275,Royals,2020,SS,2,3,1,0,0,1,1,2,71%,70%,1%
"Polanco, Jorge",593871,Twins,2020,SS,0,0,1,1,-1,0,-1,1,73%,73%,0%
"Rojas, Miguel",500743,Marlins,2020,SS,2,3,3,0,0,0,1,2,81%,79%,2%
"Rosario, Amed",642708,Mets,2020,SS,1,2,3,0,-2,1,3,-1,68%,66%,2%
"Seager, Corey",608369,Dodgers,2020,SS,1,1,2,0,-2,1,-1,3,76%,76%,0%
"Semien, Marcus",543760,Athletics,2020,SS,-8,-11,-2,-3,-6,0,-5,-6,72%,76%,-4%
"Simmons, Andrelton",592743,Angels,2020,SS,-1,-1,2,-1,-1,-1,0,-1,76%,77%,-1%
"Story, Trevor",596115,Rockies,2020,SS,0,0,1,0,1,-1,3,-3,74%,74%,0%
"Swanson, Dansby",621020,Braves,2020,SS,6,8,7,3,-1,-1,4,4,81%,78%,3%
"Tatis Jr., Fernando",665487,Padres,2020,SS,5,6,2,1,1,2,3,3,72%,69%,3%
"Torres, Gleyber",650402,Yankees,2020,SS,-1,-2,1,-3,0,0,-3,1,73%,74%,-1%
"Turner, Trea",607208,Nationals,2020,SS,-2,-3,-3,1,-1,1,-2,-1,69%,70%,-1%
"Velazquez, Andrew",623205,Orioles,2020,SS,0,0,1,1,-2,0,-1,1,81%,82%,-1%
"Akiyama, Shogo",673451,Reds,2020,LF,1,1,-1,1,0,0,1,0,90%,88%,2%
"Arozarena, Randy",668227,Rays,2020,LF,-1,-2,-1,0,-1,0,0,-2,78%,82%,-4%
"Bonifacio, Jorge",593528,Tigers,2020,LF,-1,-1,0,-1,0,0,0,-1,83%,86%,-3%
"Brantley, Michael",488726,Astros,2020,LF,1,1,0,0,1,0,1,0,88%,86%,2%
"Canha, Mark",592192,Athletics,2020,RF,1,1,0,0,0,0,0,1,92%,90%,2%
"Choo, Shin-Soo",425783,Rangers,2020,LF,-2,-2,0,0,-1,-1,-1,-1,84%,89%,-5%
"Dickerson, Alex",543105,Giants,2020,LF,-2,-3,0,-2,1,-2,-1,-1,80%,84%,-4%
"Dickerson, Corey",572816,Marlins,2020,LF,-1,-1,0,0,0,0,-1,-1,84%,85%,-1%
"Duvall, Adam",594807,Braves,2020,LF,1,1,-1,0,1,0,2,-1,85%,84%,1%
"Frazier, Adam",624428,Pirates,2020,2B,0,0,0,0,0,0,0,0,87%,85%,2%
"Gardner, Brett",458731,Yankees,2020,LF,-1,-1,-1,0,1,0,-1,0,80%,82%,-2%
"Gordon, Alex",460086,Royals,2020,LF,-1,-1,0,-1,-1,0,-3,1,89%,90%,-1%
"Grossman, Robbie",543257,Athletics,2020,LF,3,3,-1,1,0,2,2,1,87%,84%,3%
"Gurriel Jr., Lourdes",666971,Blue Jays,2020,LF,-1,-1,0,-2,1,-1,1,-2,88%,89%,-1%
"Hilliard, Sam",656541,Rockies,2020,LF,1,1,0,1,-1,1,2,-1,86%,83%,3%
"Jiménez, Eloy",650391,White Sox,2020,LF,-3,-3,-1,-3,-1,1,0,-3,84%,88%,-4%
"Margot, Manuel",622534,Rays,2020,CF,0,0,-1,0,0,1,0,1,94%,93%,1%
"Marmolejos, José",592530,Mariners,2020,LF,-2,-2,0,0,-2,0,0,-2,78%,84%,-6%
"McCutchen, Andrew",457705,Phillies,2020,LF,-3,-3,-1,-1,-1,-1,-1,-2,78%,83%,-5%
"McNeil, Jeff",643446,Mets,2020,3B,1,1,-1,0,1,1,2,-1,90%,88%,2%
"Meadows, Austin",640457,Rays,2020,LF,1,1,2,0,-1,0,0,0,83%,80%,3%
"Mountcastle, Ryan",663624,Orioles,2020,LF,0,0,0,0,0,0,0,0,92%,92%,0%
"Naylor, Josh",647304,---,2020,LF,0,0,0,0,0,0,0,1,84%,84%,0%
"O'Neill, Tyler",641933,Cardinals,2020,LF,3,4,0,1,0,2,2,1,92%,88%,4%
"Ozuna, Marcell",542303,Braves,2020,LF,-1,-1,-1,0,-1,0,-2,0,91%,94%,-3%
"Pederson, Joc",592626,Dodgers,2020,LF,-3,-3,-2,0,-1,0,-2,-1,81%,88%,-7%
"Peralta, David",444482,D-backs,2020,LF,1,1,1,0,1,0,1,0,87%,85%,2%
"Pham, Tommy",502054,Padres,2020,LF,-1,-1,0,-2,0,0,0,-1,84%,86%,-2%
"Pollock, AJ",572041,Dodgers,2020,LF,-1,-1,0,0,-2,1,0,-1,83%,84%,-1%
"Profar, Jurickson",595777,Padres,2020,LF,0,0,0,0,0,0,-1,1,86%,85%,1%
"Reynolds, Bryan",668804,Pirates,2020,LF,1,1,1,1,0,0,0,1,91%,90%,1%
"Rosario, Eddie",592696,Twins,2020,LF,0,0,0,-1,1,1,0,0,85%,86%,-1%
"Schwarber, Kyle",656941,Cubs,2020,LF,-2,-2,0,0,-2,-1,-1,-1,78%,81%,-3%
"Smith Jr., Dwight",596105,Orioles,2020,LF,-4,-4,0,-1,-2,-2,-3,-1,74%,86%,-12%
"Solak, Nick",669256,Rangers,2020,LF,0,0,1,0,-1,0,-2,1,79%,80%,-1%
"Soto, Juan",665742,Nationals,2020,LF,-2,-2,0,1,-1,-1,-1,-1,80%,83%,-3%
"Stewart, Christin",621514,Tigers,2020,LF,0,0,0,0,0,-1,1,-1,87%,87%,0%
"Tapia, Raimel",606132,Rockies,2020,LF,0,0,1,-2,1,0,-2,1,83%,84%,-1%
"Tauchman, Mike",643565,Yankees,2020,LF,1,1,1,0,0,0,0,1,89%,86%,3%
"Taylor, Chris",621035,Dodgers,2020,SS,1,1,0,0,0,0,1,0,95%,93%,2%
"Tucker, Kyle",663656,Astros,2020,LF,3,4,0,3,0,0,1,3,93%,89%,4%
"Upton, Justin",457708,Angels,2020,LF,-2,-2,0,-1,-2,0,-2,0,88%,91%,-3%
"Verdugo, Alex",657077,Red Sox,2020,RF,2,2,1,0,0,0,2,1,100%,94%,6%
"Yelich, Christian",592885,Brewers,2020,LF,-2,-2,-1,-2,-1,1,-2,-1,88%,91%,-3%
"Acuña Jr., Ronald",660670,Braves,2020,CF,0,0,-2,0,1,0,0,0,92%,92%,0%
"Bader, Harrison",664056,Cardinals,2020,CF,3,3,1,2,-1,0,2,1,92%,89%,3%
"Bellinger, Cody",641355,Dodgers,2020,CF,6,7,0,3,3,0,4,3,92%,87%,5%
"Bradley Jr., Jackie",598265,Red Sox,2020,CF,6,6,1,4,3,-1,4,3,92%,87%,5%
"Buxton, Byron",621439,Twins,2020,CF,4,4,0,1,3,0,0,4,95%,91%,4%
"Dahl, David",621311,Rockies,2020,CF,0,0,0,-2,1,0,0,-1,83%,83%,0%
"DeShields, Delino",592261,Guardians,2020,CF,0,0,1,0,0,-1,1,-1,89%,89%,0%
"Dubón, Mauricio",643289,Giants,2020,CF,3,3,0,2,2,-1,0,3,93%,89%,4%
"Dyson, Jarrod",502481,---,2020,CF,2,2,0,1,1,0,2,0,82%,78%,4%
"García, Avisaíl",541645,Brewers,2020,CF,0,0,0,1,-1,0,0,0,87%,87%,0%
"Grichuk, Randal",545341,Blue Jays,2020,CF,1,1,-1,1,0,1,0,0,88%,87%,1%
"Grisham, Trent",663757,Padres,2020,CF,6,7,1,2,4,0,5,2,95%,90%,5%
"Happ, Ian",664023,Cubs,2020,CF,1,2,1,1,1,-1,2,-1,89%,87%,2%
"Hays, Austin",669720,Orioles,2020,CF,0,0,0,1,0,-1,1,-1,86%,86%,0%
"Hicks, Aaron",543305,Yankees,2020,CF,-4,-4,-1,0,-3,-1,-3,-1,85%,88%,-3%
"Inciarte, Ender",542255,Braves,2020,CF,-1,-1,-1,2,0,-1,0,0,83%,84%,-1%
"Jones, JaCoby",592444,Tigers,2020,CF,1,1,0,0,1,0,0,0,88%,87%,1%
"Kiermaier, Kevin",595281,Rays,2020,CF,5,5,0,1,4,0,4,1,89%,85%,4%
"Laureano, Ramón",657656,Athletics,2020,CF,2,2,0,1,0,1,2,0,92%,91%,1%
"Lewis, Kyle",641786,Mariners,2020,CF,3,4,-1,2,2,1,3,1,93%,90%,3%
"Margot, Manuel",622534,Rays,2020,CF,2,2,-1,2,2,-1,0,2,96%,93%,3%
"Marte, Starling",516782,---,2020,CF,2,2,0,1,0,1,3,-1,90%,89%,1%
"Mercado, Óscar",640458,Guardians,2020,CF,1,2,0,1,0,0,0,1,93%,90%,3%
"Merrifield, Whit",593160,Royals,2020,RF,1,1,0,0,0,0,0,1,96%,94%,2%
"Mullins, Cedric",656775,Orioles,2020,CF,4,5,0,3,1,1,3,2,96%,92%,4%
"Nimmo, Brandon",607043,Mets,2020,CF,-3,-3,-2,-1,0,0,-1,-2,83%,86%,-3%
"Pillar, Kevin",607680,---,2020,CF,-1,-1,0,-1,0,0,-1,0,83%,85%,-2%
"Quinn, Roman",596451,Phillies,2020,CF,1,1,1,1,-1,0,-1,2,89%,88%,1%
"Reyes, Victor",622682,Tigers,2020,CF,0,0,0,1,0,-1,0,0,93%,92%,1%
"Robert Jr., Luis",673357,White Sox,2020,CF,5,5,1,3,3,-2,4,1,94%,91%,3%
"Robles, Victor",645302,Nationals,2020,CF,1,1,0,0,0,1,1,0,88%,87%,1%
"Senzel, Nick",669222,Reds,2020,CF,0,0,0,0,1,0,0,0,91%,90%,1%
"Springer, George",543807,Astros,2020,CF,2,2,0,1,1,0,2,0,91%,89%,2%
"Straw, Myles",664702,Astros,2020,CF,2,2,0,1,0,0,1,1,90%,86%,4%
"Taveras, Leody",665750,Rangers,2020,CF,0,0,-1,-2,2,1,0,0,91%,91%,0%
"Trout, Mike",545361,Angels,2020,CF,-1,-1,-1,2,-1,-1,-1,0,86%,87%,-1%
"Tucker, Cole",657061,Pirates,2020,CF,-2,-3,0,-1,-1,0,0,-2,84%,90%,-6%
"Varsho, Daulton",662139,D-backs,2020,CF,1,1,0,1,0,0,1,-1,89%,87%,2%
"Yastrzemski, Mike",573262,Giants,2020,RF,-3,-3,-1,0,-2,-1,1,-4,86%,91%,-5%
"Acuña Jr., Ronald",660670,Braves,2020,CF,1,1,0,0,1,0,0,0,93%,92%,1%
"Adell, Jo",666176,Angels,2020,RF,-4,-4,0,-2,0,-1,-1,-3,81%,87%,-6%
"Betts, Mookie",605141,Dodgers,2020,RF,5,5,1,2,1,2,3,2,94%,90%,4%
"Blackmon, Charlie",453568,Rockies,2020,RF,-1,-1,1,0,-2,0,0,-1,89%,90%,-1%
"Brinson, Lewis",621446,Marlins,2020,RF,-1,-1,0,-2,1,0,-1,0,84%,87%,-3%
"Calhoun, Kole",594777,D-backs,2020,RF,-1,-2,0,-2,-1,1,0,-2,90%,92%,-2%
"Cameron, Daz",663662,Tigers,2020,RF,1,1,0,0,1,1,2,-1,88%,85%,3%
"Canha, Mark",592192,Athletics,2020,RF,1,1,0,0,0,0,0,1,88%,86%,2%
"Castellanos, Nick",592206,Reds,2020,RF,-4,-4,-1,-3,-1,1,-2,-2,83%,87%,-4%
"Conforto, Michael",624424,Mets,2020,RF,-3,-3,0,0,-3,-1,-4,1,82%,84%,-2%
"Eaton, Adam",594809,Nationals,2020,RF,-1,-2,1,-1,-2,0,0,-2,81%,83%,-2%
"Fowler, Dexter",451594,Cardinals,2020,RF,0,0,-1,0,0,0,0,0,84%,85%,-1%
"Frazier, Clint",640449,Yankees,2020,RF,2,2,0,1,0,1,2,0,90%,86%,4%
"Gallo, Joey",608336,Rangers,2020,RF,3,3,1,1,1,0,1,2,89%,87%,2%
"Harper, Bryce",547180,Phillies,2020,RF,0,0,0,0,0,0,2,-1,89%,88%,1%
"Hernández, Teoscar",606192,Blue Jays,2020,RF,-2,-2,-1,-2,-1,1,-1,-1,77%,80%,-3%
"Heyward, Jason",518792,Cubs,2020,RF,1,1,0,-1,1,1,0,1,89%,89%,0%
"Joyce, Matt",459964,Marlins,2020,RF,-3,-4,0,-1,-1,-1,1,-4,77%,84%,-7%
"Judge, Aaron",592450,Yankees,2020,RF,1,1,1,-1,1,0,1,0,90%,88%,2%
"Kepler, Max",596146,Twins,2020,RF,1,1,0,1,0,0,-1,1,82%,81%,1%
"Margot, Manuel",622534,Rays,2020,CF,0,0,-1,0,0,1,-1,0,89%,90%,-1%
